Graph,Rounded,,,Primal Objective,,,Rel. Error,,,,,,
,MESDP,CVG,CVS,MESDP,CVG,SDPT3,MESDP,CVG,,,,,
G1,11200,10903,11410,11948.05,11482.34,12083.20,0.01,0.05,,,,,
G2,11185,10808,11378,11954.89,11516.23,12089.43,0.01,0.05,,,,,
G3,11057,10734,11376,11936.85,11164.58,12084.33,0.01,0.08,,,,,
G4,11253,10834,11395,11963.66,11581.87,12111.45,0.01,0.04,,,,,
G5,11242,10942,11386,11959.25,11520.60,12099.89,0.01,0.05,,,,,
G14,2871,2695,2933,3151.71,2888.86,3191.57,0.01,0.09,,,,,
G15,2889,2575,2946,3129.47,2871.22,3171.56,0.01,0.09,,,,,
G16,2899,2702,2929,3132.83,2882.31,3175.02,0.01,0.09,,,,,
G17,2864,2699,2941,3127.68,2879.44,3171.33,0.01,0.09,,,,,
G22,12670,12042,12919,13955.81,12902.27,14135.95,0.01,0.09,,,,,
G23,12681,11953,12963,13953.23,13035.69,14142.11,0.01,0.08,,,,,
G24,12704,11869,12888,13959.24,13039.24,14140.86,0.01,0.08,,,,,
G25,12632,12059,12894,13957.99,13111.38,14144.25,0.01,0.07,,,,,
G26,12626,11889,12918,13941.82,13057.63,14132.87,0.01,0.08,,,,,
G35,7209,6465,7365,7905.66,7260.21,8014.74,0.01,0.09,,,,,
G36,7258,6523,7381,7898.29,7286.92,8005.96,0.01,0.09,,,,,
G37,7277,6621,7373,7914.36,7276.51,8018.62,0.01,0.09,,,,,
G43,6289,6300,6512,6948.32,6626.79,7032.22,0.01,0.06,,,,,
G44,6242,6170,6438,6943.71,6629.46,7027.88,0.01,0.06,,,,,
G45,6270,6209,6470,6938.30,6608.59,7024.78,0.01,0.06,,,,,
G46,6342,6050,6437,6943.35,6650.92,7029.93,0.01,0.05,,,,,
G47,6299,6186,6426,6949.83,6584.91,7036.66,0.01,0.06,,,,,
G48,5512,5284,6000,5881.35,5849.95,6000.00,0.02,0.03,,,,,
G49,5590,5414,6000,5884.38,5806.92,6000.00,0.02,0.03,,,,,
G50,5422,5502,5858,5872.94,5782.20,5988.17,0.02,0.03,,,,,
G51,3608,3413,3716,3952.21,3714.97,4006.26,0.01,0.07,,,,,
G52,3660,3383,3701,3959.40,3716.02,4009.64,0.01,0.07,,,,,
G53,3637,3456,3719,3958.29,3712.97,4009.72,0.01,0.07,,,,,
G54,3621,3518,3710,3955.53,3707.35,4006.19,0.01,0.07,,,,,
